key,ko,en
current_objective,<현재 목표>,<Current Objective>
melt,해동도,Melt
objective_find_kitchen_key,냉장고를 찾자.,Let's find the refrigerator.
objective_inspect_refrigerator,냉장고를 조사하자.,Let's inspect the refrigerator.
objective_find_front_door_key,현관문 열쇠를 찾자.,Let's find the front door key.
objective_find_generator,발전기를 조사하자.,Let's inspect the generator.
objective_find_generator_wire,발전기 전선을 획득하자.,Let's get the generator wire.
objective_repair_generator,발전기를 수리하고 전기를 복구하자.,Let's repair the generator and restore the power.
objective_find_plywood,못을 획득하자.,Let's get the nails.
objective_find_hammer,망치를 획득하자.,Let's get the hammer.
objective_repair_refrigerator_wall,냉장고 문을 수리하자.,Let's repair the refrigerator door.
objective_find_coolant_capsule,냉매 캡슐을 획득하자.,Let's get the coolant capsule.
objective_repair_freezer,냉장고 냉각 기능을 수리하자.,Let's restore the refrigerator's cooling.
objective_enter_freezer,냉동칸에 진입해 엔딩을 맞이하자.,Let's enter the freezer and reach the ending.
start,새 게임,New Game
continue,이어하기,Continue
resume,계속하기,Resume
game_over,게임 오버,Game Over
restart,다시 시작하기,Restart
return_to_title,타이틀로 돌아가기,Return to Title
settings,설정,Settings
close,닫기,Close
exit,그만하기,Exit
title_volume,타이틀 볼륨,Title Volume
bgm_volume,배경음 볼륨,BGM Volume
sfx_volume,효과음 볼륨,SFX Volume
master_volume,전체 볼륨,Master Volume
brightness,밝기,Brightness
mouse_sensitivity,마우스 감도,Mouse Sensitivity
language,언어,Language
inventory,보유 아이템,Inventory
repair_prompt,[E] 수리하기,[E] Repair
open_door_prompt,[E] 문 열기,[E] Open Door
